U1F482 U1F3FC,guard guardsman
U1F482 U1F3FD,guard guardsman
U1F482 U1F3FE,guard guardsman
U1F482 U1F3FF,guard guardsman
U0001F575,detective sleuth spy
U1F575 U1F3FB,detective sleuth spy
U1F575 U1F3FC,detective sleuth spy
U1F575 U1F3FD,detective sleuth spy
U1F575 U1F3FE,detective sleuth spy
U1F575 U1F3FF,detective sleuth spy
U0001F385,activity celebration christmas fairy tale fantasy father santa
U1F385 U1F3FB,activity celebration christmas fairy tale fantasy father santa
U1F385 U1F3FC,activity celebration christmas fairy tale fantasy father santa
U1F385 U1F3FD,activity celebration christmas fairy tale fantasy father santa
U1F385 U1F3FE,activity celebration christmas fairy tale fantasy father santa
U1F385 U1F3FF,activity celebration christmas fairy tale fantasy father santa
U0001F936,christmas mother mrs. claus
U1F936 U1F3FB,christmas mother mrs. claus
U1F936 U1F3FC,christmas mother mrs. claus
U1F936 U1F3FD,christmas mother mrs. claus
U1F936 U1F3FE,christmas mother mrs. claus
U1F936 U1F3FF,christmas mother mrs. claus
U0001F470,bride veil wedding
U1F470 U1F3FB,bride veil wedding
U1F470 U1F3FC,bride veil wedding
U1F470 U1F3FD,bride veil wedding
U1F470 U1F3FE,bride veil wedding
U1F470 U1F3FF,bride veil wedding
U0001F935,groom man tuxedo
U1F935 U1F3FB,groom man tuxedo
U1F935 U1F3FC,groom man tuxedo
U1F935 U1F3FD,groom man tuxedo
U1F935 U1F3FE,groom man tuxedo
U1F935 U1F3FF,groom man tuxedo
U0001F486,massage salon
U1F486 U1F3FB,massage salon
U1F486 U1F3FC,massage salon
U1F486 U1F3FD,massage salon
U1F486 U1F3FE,massage salon
U1F486 U1F3FF,massage salon
U0001F487,barber beauty haircut parlor
U1F487 U1F3FB,barber beauty haircut parlor
U1F487 U1F3FC,barber beauty haircut parlor
U1F487 U1F3FD,barber beauty haircut parlor
U1F487 U1F3FE,barber beauty haircut parlor
U1F487 U1F3FF,barber beauty haircut parlor
U0001F64D,frown gesture
U1F64D U1F3FB,frown gesture
U1F64D U1F3FC,frown gesture
U1F64D U1F3FD,frown gesture
U1F64D U1F3FE,frown gesture
U1F64D U1F3FF,frown gesture
U0001F64E,gesture pouting
U1F64E U1F3FB,gesture pouting
U1F64E U1F3FC,gesture pouting
U1F64E U1F3FD,gesture pouting
U1F64E U1F3FE,gesture pouting
U1F64E U1F3FF,gesture pouting
U0001F645,forbidden gesture hand no not prohibited
U1F645 U1F3FB,forbidden gesture hand no not prohibited
U1F645 U1F3FC,forbidden gesture hand no not prohibited
U1F645 U1F3FD,forbidden gesture hand no not prohibited
U1F645 U1F3FE,forbidden gesture hand no not prohibited
U1F645 U1F3FF,forbidden gesture hand no not prohibited
U0001F646,gesture hand ok
U1F646 U1F3FB,gesture hand ok
U1F646 U1F3FC,gesture hand ok
U1F646 U1F3FD,gesture hand ok
U1F646 U1F3FE,gesture hand ok
U1F646 U1F3FF,gesture hand ok
U0001F481,hand help information sassy
U1F481 U1F3FB,hand help information sassy
U1F481 U1F3FC,hand help information sassy
U1F481 U1F3FD,hand help information sassy
U1F481 U1F3FE,hand help information sassy
U1F481 U1F3FF,hand help information sassy
U0001F937,doubt ignorance indifference shrug
U1F937 U1F3FB,doubt ignorance indifference shrug
U1F937 U1F3FC,doubt ignorance indifference shrug
U1F937 U1F3FD,doubt ignorance indifference shrug
U1F937 U1F3FE,doubt ignorance indifference shrug
U1F937 U1F3FF,doubt ignorance indifference shrug
U0001F64B,gesture hand happy raised
U1F64B U1F3FB,gesture hand happy raised
U1F64B U1F3FC,gesture hand happy raised
U1F64B U1F3FD,gesture hand happy raised
U1F64B U1F3FE,gesture hand happy raised
U1F64B U1F3FF,gesture hand happy raised
U0001F926,disbelief exasperation face palm
U1F926 U1F3FB,disbelief exasperation face palm
U1F926 U1F3FC,disbelief exasperation face palm
U1F926 U1F3FD,disbelief exasperation face palm
U1F926 U1F3FE,disbelief exasperation face palm
U1F926 U1F3FF,disbelief exasperation face palm
U0001F647,apology bow gesture sorry
U1F647 U1F3FB,apology bow gesture sorry
U1F647 U1F3FC,apology bow gesture sorry
U1F647 U1F3FD,apology bow gesture sorry
U1F647 U1F3FE,apology bow gesture sorry
U1F647 U1F3FF,apology bow gesture sorry
U0001F6B6,hike pedestrian walk walking
